Date,Open,High,Low,Close,Adj Close,Volume,Hit
12/2/2013,41.790001,46.349998,40.400002,44.950001,44.950001,41169600,0
12/9/2013,45.59,59.41,45.02,59,59,132216600,0
12/16/2013,57.860001,60.25,54.23,60.009998,60.009998,117445700,0
12/23/2013,59.849998,74.730003,59.700001,63.75,63.75,201146300,0
12/30/2013,60.27,70.43,58.57,69,69,145806500,0
1/6/2014,64.830002,67.730003,55.59,57,57,139723300,28
1/13/2014,59.98,64.690002,57.290001,62.200001,62.200001,102273900,28
1/20/2014,63.330002,63.799999,60.880001,61.740002,61.740002,48898100,27
1/27/2014,61.77,65.370003,56.099998,64.5,64.5,70392600,29
2/3/2014,65.919998,67.239998,49.990002,54.349998,54.349998,159473500,27
2/10/2014,54.5,58.98,52.34,57.439999,57.439999,87582600,0
2/17/2014,57.880001,58.950001,54.619999,55.919998,55.919998,56303400,0
2/24/2014,56.029999,56.990002,54.130001,54.91,54.91,44530600,0
3/3/2014,53.889999,56.09,52.900002,53.529999,53.529999,38297800,28
3/10/2014,54.09,55.84,51.799999,51.919998,51.919998,40582500,0
3/17/2014,52.080002,52.490002,49.509998,50.919998,50.919998,48341600,0
3/24/2014,50.689999,50.939999,43.310001,47.299999,47.299999,61749100,0
3/31/2014,47.549999,47.75,42.369999,43.139999,43.139999,45622100,28
4/7/2014,42.869999,44.599998,39.68,40.049999,40.049999,61618800,0
4/14/2014,41.400002,46.549999,40.119999,45.009998,45.009998,60923300,0
4/21/2014,44.959999,47.09,41.310001,41.610001,41.610001,45982400,56
4/28/2014,41.759998,43.970001,37.240002,39.02,39.02,109373800,28
5/5/2014,38.52,39.599998,29.51,32.049999,32.049999,297163100,29
5/12/2014,33.080002,34.099998,32.02,32.259998,32.259998,122840800,31
5/19/2014,32.049999,32.439999,30.450001,30.5,30.5,111110100,34
5/26/2014,30.940001,35.139999,30.379999,32.439999,32.439999,180125200,0
6/2/2014,32.889999,34.889999,31.620001,33.330002,33.330002,140265300,33
6/9/2014,33.240002,37.27,33.09,36.900002,36.900002,177266700,0
6/16/2014,36.700001,39.299999,36.439999,39.240002,39.240002,150067700,34
6/23/2014,39.07,42,38.009998,40.93,40.93,166128300,0
6/30/2014,40.810001,42.950001,40.349998,41.330002,41.330002,98939400,100
7/7/2014,41.080002,41.450001,36.110001,38.330002,38.330002,145879300,0
7/14/2014,38.57,39.380001,35.950001,37.049999,37.049999,113089800,33
7/21/2014,37.23,39,36.849998,38.16,38.16,87830300,33
7/28/2014,38.299999,48,37.560001,44.130001,44.130001,282680600,0
8/4/2014,43.700001,44.529999,42.509998,43.130001,43.130001,109541400,32
8/11/2014,43.48,45.5,42.709999,44.759998,44.759998,105599000,32
8/18/2014,45.060001,46.139999,44.759998,45.98,45.98,67171100,0
8/25/2014,46.220001,50.349998,45.700001,49.75,49.75,138430500,0
9/1/2014,50.02,51.849998,49.049999,50.700001,50.700001,107342900,0
9/8/2014,51.799999,53.639999,50.220001,52.110001,52.110001,154897700,0
9/15/2014,51.599998,53,47.560001,53,53,148670700,31
9/22/2014,52.380001,53.34,51.02,51.889999,51.889999,94587800,0
9/29/2014,51.09,54.73,49.150002,53.939999,53.939999,110737200,0
10/6/2014,53.939999,55.990002,50.299999,50.400002,50.400002,153682900,0
10/13/2014,50.540001,51.91,46.380001,48.77,48.77,154871300,0
10/20/2014,49.07,52.150002,48.799999,49.950001,49.950001,100415000,31
10/27/2014,50.02,50.240002,39.939999,41.470001,41.470001,241579900,30
11/3/2014,40.549999,41.799999,39.700001,40.310001,40.310001,105579400,60
11/10/2014,40.34,43.950001,38.810001,41.849998,41.849998,190407200,0
11/17/2014,41.459999,41.68,39.209999,40.029999,40.029999,84104000,0
11/24/2014,39.990002,42.080002,39.560001,41.740002,41.740002,66228300,0
12/1/2014,41.290001,41.290001,38.330002,38.490002,38.490002,77485500,0
12/8/2014,38.080002,38.119999,34.619999,37.099998,37.099998,98082900,0
12/15/2014,38.130001,38.380001,34.950001,37.080002,37.080002,89775200,0
12/22/2014,37.5,39.25,37.310001,37.599998,37.599998,50515200,0
12/29/2014,37.389999,37.509998,35.459999,36.560001,36.560001,62772600,0
1/5/2015,36.259998,40.34,35.639999,40.169998,40.169998,114579500,0
1/12/2015,40.279999,40.950001,36.849998,37.310001,37.310001,100097300,0
1/19/2015,37.59,39.970001,36.540001,39.419998,39.419998,66603000,0
1/26/2015,39.330002,40.130001,36.07,37.529999,37.529999,87430900,0
