"","Time","n"
"267","2016-04-04",1
"268","2016-04-05",2
"269","2016-04-06",2
"270","2016-04-08",2
"271","2016-04-10",1
"272","2016-04-12",1
"273","2016-04-18",1
"274","2016-04-19",1
"275","2016-04-20",1
"276","2016-04-21",3
"277","2016-04-26",1
"278","2016-04-27",3
"279","2016-04-28",1
"280","2016-05-03",1
"281","2016-05-04",1
"282","2016-05-05",1
"283","2016-05-06",1
"284","2016-05-07",1
"285","2016-05-09",3
"286","2016-05-10",2
"287","2016-05-11",1
"288","2016-05-12",1
"289","2016-05-13",1
"290","2016-05-15",1
"291","2016-05-16",1
"292","2016-05-17",1
"293","2016-05-18",2
"294","2016-05-20",2
"295","2016-05-21",2
"296","2016-05-23",1
"297","2016-05-24",1
"298","2016-05-26",2
"299","2016-05-27",2
"300","2016-05-29",1
"301","2016-06-02",2
"302","2016-06-03",2
"303","2016-06-05",1
"304","2016-06-06",1
"305","2016-06-07",2
"306","2016-06-08",2
"307","2016-06-09",2
"308","2016-06-10",3
"309","2016-06-11",2
"310","2016-06-13",1
"311","2016-06-14",2
"312","2016-06-17",2
"313","2016-06-20",1
"314","2016-06-22",1
"315","2016-06-23",1
"316","2016-06-24",1
"317","2016-06-28",1
"318","2016-06-30",1
"319","2016-07-01",6
"320","2016-07-02",1
"321","2016-07-03",1
"322","2016-07-04",1
"323","2016-07-05",1
"324","2016-07-06",3
"325","2016-07-07",2
"326","2016-07-10",1
"327","2016-07-11",1
"328","2016-07-12",2
"329","2016-07-13",1
"330","2016-07-17",1
"331","2016-07-20",1
"332","2016-07-21",1
"333","2016-07-22",2
"334","2016-07-23",1
"335","2016-07-25",2
"336","2016-07-27",1
"337","2016-07-28",1
"338","2016-07-29",1
"339","2016-08-01",2
"340","2016-08-03",1
"341","2016-08-08",3
"342","2016-08-11",1
"343","2016-08-12",1
"344","2016-08-14",2
"345","2016-08-15",1
"346","2016-08-16",1
"347","2016-08-17",1
"348","2016-08-18",2
"349","2016-08-19",1
"350","2016-08-21",1
"351","2016-08-22",3
"352","2016-08-23",1
"353","2016-08-25",1
"354","2016-08-28",1
"355","2016-08-30",1
"356","2016-08-31",1
"357","2016-09-01",1
"358","2016-09-02",2
"359","2016-09-03",1
"360","2016-09-07",1
"361","2016-09-09",1
"362","2016-09-11",1
"363","2016-09-13",2
"364","2016-09-14",1
"365","2016-09-15",4
"366","2016-09-20",2
"367","2016-09-21",3
"368","2016-09-26",2
"369","2016-09-28",1
"370","2016-09-29",1
"371","2016-10-02",1
"372","2016-10-03",1
"373","2016-10-04",2
"374","2016-10-05",2
"375","2016-10-09",2
"376","2016-10-11",3
"377","2016-10-13",2
"378","2016-10-14",1
"379","2016-10-17",1
"380","2016-10-20",3
"381","2016-10-21",1
"382","2016-10-23",1
"383","2016-10-25",1
"384","2016-11-03",1
"385","2016-11-07",1
"386","2016-11-08",1
"387","2016-11-11",1
"388","2016-11-12",1
"389","2016-11-13",1
"390","2016-11-15",2
"391","2016-11-17",1
"392","2016-11-20",1
"393","2016-11-21",1
"394","2016-11-23",1
"395","2016-11-24",1
"396","2016-11-25",1
"397","2016-11-28",1
"398","2016-11-30",1
"399","2016-12-04",3
"400","2016-12-05",1
"401","2016-12-08",1
"402","2016-12-12",1
"403","2016-12-14",3
"404","2016-12-15",1
"405","2016-12-16",2
"406","2016-12-17",2
"407","2016-12-18",3
"408","2016-12-19",1
"409","2016-12-20",1
"410","2016-12-21",1
"411","2016-12-22",2
"412","2016-12-24",1
"413","2016-12-28",1
"414","2017-01-01",1
"415","2017-01-04",2
"416","2017-01-05",1
"417","2017-01-11",1
"418","2017-01-15",2
"419","2017-01-16",1
"420","2017-01-17",1
"421","2017-01-19",2
"422","2017-01-20",4
"423","2017-01-21",2
"424","2017-01-23",2
"425","2017-01-24",1
"426","2017-01-26",2
"427","2017-01-29",2
"428","2017-01-30",1
"429","2017-01-31",2
"430","2017-02-01",1
"431","2017-02-03",2
"432","2017-02-05",1
"433","2017-02-06",1
"434","2017-02-07",2
"435","2017-02-08",1
"436","2017-02-09",1
"437","2017-02-10",1
"438","2017-02-13",1
"439","2017-02-15",1
"440","2017-02-19",2
"441","2017-02-20",1
"442","2017-02-21",1
"443","2017-02-24",1
"444","2017-02-26",1
"445","2017-02-28",2
"446","2017-03-01",1
"447","2017-03-05",1
"448","2017-03-06",1
"449","2017-03-09",1
"450","2017-03-10",2
"451","2017-03-12",1
"452","2017-03-13",2
"453","2017-03-14",3
"454","2017-03-17",1
"455","2017-03-18",2
"456","2017-03-19",1
"457","2017-03-28",1
"458","2017-03-30",2
"459","2017-04-01",1
"460","2017-04-03",1
"461","2017-04-04",2
"462","2017-04-05",2
"463","2017-04-07",2
"464","2017-04-10",2
"465","2017-04-13",2
"466","2017-04-15",1
"467","2017-04-16",1
"468","2017-04-17",1
"469","2017-04-19",4
"470","2017-04-21",1
"471","2017-04-22",2
"472","2017-04-25",1
"473","2017-04-27",2
"474","2017-04-29",1
"475","2017-05-02",1
"476","2017-05-04",1
"477","2017-05-05",2
"478","2017-05-06",1
"479","2017-05-07",1
"480","2017-05-11",1
"481","2017-05-12",1
"482","2017-05-15",2
"483","2017-05-18",1
"484","2017-05-19",1
"485","2017-05-22",3
"486","2017-05-24",1
"487","2017-05-28",2
"488","2017-05-29",1
"489","2017-05-30",1
"490","2017-06-01",3
"491","2017-06-02",3
"492","2017-06-03",2
"493","2017-06-04",2
"494","2017-06-05",1
"495","2017-06-07",1
"496","2017-06-17",3
"497","2017-06-20",1
"498","2017-06-24",1
"499","2017-06-26",1
"500","2017-06-30",1
"501","2017-07-01",1
"502","2017-07-03",1
"503","2017-07-05",2
"504","2017-07-07",3
"505","2017-07-09",2
"506","2017-07-10",3
"507","2017-07-11",3
"508","2017-07-12",1
"509","2017-07-13",1
"510","2017-07-15",2
"511","2017-07-16",1
"512","2017-07-17",2
"513","2017-07-18",1
"514","2017-07-19",2
"515","2017-07-20",1
"516","2017-07-25",1
"517","2017-07-26",6
"518","2017-07-27",3
"519","2017-07-29",1
"520","2017-07-30",1
"521","2017-07-31",1
"522","2017-08-06",3
"523","2017-08-07",2
"524","2017-08-08",2
"525","2017-08-09",2
"526","2017-08-10",2
"527","2017-08-12",1
"528","2017-08-13",2
"529","2017-08-14",4
"530","2017-08-15",1
"531","2017-08-18",1
"532","2017-08-20",3
"533","2017-08-22",1
"534","2017-08-23",3
"535","2017-08-24",1
"536","2017-08-30",2
"537","2017-09-02",1
"538","2017-09-04",2
"539","2017-09-06",1
"540","2017-09-07",1
"541","2017-09-10",3
"542","2017-09-11",1
"543","2017-09-12",1
"544","2017-09-13",1
"545","2017-09-14",3
"546","2017-09-15",2
"547","2017-09-20",1
"548","2017-09-21",1
"549","2017-09-22",2
"550","2017-09-23",1
"551","2017-09-24",1
"552","2017-09-26",1
"553","2017-09-27",1
"554","2017-09-28",1
"555","2017-09-29",1
"556","2017-10-01",1
"557","2017-10-02",3
"558","2017-10-03",2
"559","2017-10-08",1
"560","2017-10-10",1
"561","2017-10-12",1
"562","2017-10-13",1
"563","2017-10-17",2
"564","2017-10-19",1
"565","2017-10-22",1
"566","2017-10-27",1
"567","2017-10-31",2
"568","2017-11-01",1
"569","2017-11-02",1
"570","2017-11-06",1
"571","2017-11-07",1
"572","2017-11-08",1
"573","2017-11-10",1
"574","2017-11-17",3
"575","2017-11-18",1
"576","2017-11-19",1
"577","2017-11-20",1
"578","2017-11-22",1
"579","2017-11-23",1
"580","2017-11-24",1
"581","2017-11-25",1
"582","2017-11-28",1
"583","2017-12-01",2
"584","2017-12-03",1
"585","2017-12-13",1
"586","2017-12-21",1
"587","2017-12-22",1
"588","2017-12-24",1
"589","2017-12-25",2
"590","2017-12-26",1
"591","2017-12-28",1
"592","2017-12-30",1
"593","2017-12-31",5
"594","2018-01-01",2
"595","2018-01-03",1
"596","2018-01-09",1
"597","2018-01-10",1
"598","2018-01-11",1
"599","2018-01-13",2
"600","2018-01-14",1
"601","2018-01-16",1
"602","2018-01-20",1
