"","Time","sum"
"266",2015-08-17,1
"267",2015-08-28,1
"268",2015-09-01,1
"269",2015-09-06,1
"270",2015-09-08,1
"271",2015-09-12,1
"272",2015-09-14,1
"273",2015-09-16,1
"274",2015-09-18,2
"275",2015-09-20,2
"276",2015-09-27,1
"277",2015-09-30,1
"278",2015-10-02,1
"279",2015-10-11,2
"280",2015-10-14,2
"281",2015-10-20,1
"282",2015-10-30,1
"283",2015-11-05,4
"284",2015-11-10,1
"285",2015-11-20,1
"286",2015-11-22,1
"287",2015-11-23,1
"288",2015-12-01,1
"289",2015-12-08,1
"290",2015-12-09,5
"291",2015-12-10,1
"292",2015-12-27,1
"293",2015-12-31,1
"294",2016-01-15,1
"295",2016-01-18,1
"296",2016-01-20,1
"297",2016-01-22,1
"298",2016-01-24,1
"299",2016-01-28,1
"300",2016-01-29,1
"301",2016-02-02,1
"302",2016-02-05,1
"303",2016-02-08,1
"304",2016-02-10,1
"305",2016-02-11,1
"306",2016-02-15,1
"307",2016-02-16,2
"308",2016-02-18,1
"309",2016-02-25,1
"310",2016-03-02,1
"311",2016-03-03,1
"312",2016-03-13,2
"313",2016-03-14,1
"314",2016-03-16,2
"315",2016-03-21,1
"316",2016-04-01,1
"317",2016-04-06,1
"318",2016-04-07,1
"319",2016-04-11,1
"320",2016-04-20,1
"321",2016-04-22,1
"322",2016-04-25,1
"323",2016-04-29,1
"324",2016-05-02,3
"325",2016-05-03,4
"326",2016-05-04,2
"327",2016-05-05,2
"328",2016-05-06,1
"329",2016-05-14,1
"330",2016-05-22,1
"331",2016-05-25,1
"332",2016-05-27,1
"333",2016-06-06,2
"334",2016-06-09,1
"335",2016-06-23,1
"336",2016-06-24,1
"337",2016-07-05,1
"338",2016-07-06,1
"339",2016-07-07,1
"340",2016-07-25,1
"341",2016-07-26,1
"342",2016-07-27,1
"343",2016-07-28,1
"344",2016-07-30,1
"345",2016-08-02,1
"346",2016-08-03,3
"347",2016-08-04,1
"348",2016-08-11,1
"349",2016-08-22,1
"350",2016-08-25,1
"351",2016-08-26,1
"352",2016-09-04,1
"353",2016-09-05,1
"354",2016-09-07,1
"355",2016-09-09,1
"356",2016-09-13,1
"357",2016-09-15,1
"358",2016-10-04,1
"359",2016-10-07,1
"360",2016-10-11,1
"361",2016-10-12,1
"362",2016-10-21,1
"363",2016-10-22,1
"364",2016-10-23,1
"365",2016-10-26,1
"366",2016-10-30,2
"367",2016-10-31,1
"368",2016-11-05,1
"369",2016-11-12,1
"370",2016-11-24,2
"371",2016-11-27,1
"372",2016-11-28,1
"373",2016-11-30,2
"374",2016-12-03,1
"375",2016-12-11,1
"376",2016-12-12,2
"377",2016-12-13,1
"378",2016-12-16,1
"379",2016-12-17,1
"380",2016-12-19,1
"381",2016-12-23,1
"382",2017-01-02,1
"383",2017-01-06,1
"384",2017-01-07,1
"385",2017-01-11,1
"386",2017-01-16,1
"387",2017-01-17,1
"388",2017-01-23,1
"389",2017-01-25,2
"390",2017-02-09,1
"391",2017-02-19,1
"392",2017-03-09,1
"393",2017-03-10,1
"394",2017-04-10,1
"395",2017-04-11,1
"396",2017-04-12,1
"397",2017-04-13,1
"398",2017-04-21,2
"399",2017-04-24,2
"400",2017-04-26,1
"401",2017-04-28,1
"402",2017-05-09,1
"403",2017-05-12,2
"404",2017-05-13,6
"405",2017-05-14,1
"406",2017-05-15,7
"407",2017-05-16,2
"408",2017-05-31,2
"409",2017-06-04,1
"410",2017-06-13,1
"411",2017-06-17,1
"412",2017-06-21,1
"413",2017-06-22,1
"414",2017-06-24,1
"415",2017-06-27,1
"416",2017-06-28,2
"417",2017-06-29,3
"418",2017-07-01,2
"419",2017-07-03,1
"420",2017-07-04,1
"421",2017-07-05,1
"422",2017-07-10,1
"423",2017-07-11,1
"424",2017-07-12,1
"425",2017-07-13,1
"426",2017-07-20,1
"427",2017-07-23,1
"428",2017-07-26,2
"429",2017-07-27,1
"430",2017-07-31,2
"431",2017-08-03,3
"432",2017-08-05,1
"433",2017-08-08,1
"434",2017-08-11,1
"435",2017-08-14,1
"436",2017-08-23,1
"437",2017-08-25,1
"438",2017-08-30,1
"439",2017-08-31,1
"440",2017-09-04,1
"441",2017-09-05,1
"442",2017-09-07,1
"443",2017-09-08,2
"444",2017-09-11,1
"445",2017-09-12,1
"446",2017-09-13,5
"447",2017-09-14,1
"448",2017-09-15,3
"449",2017-09-17,2
"450",2017-09-25,2
"451",2017-09-27,1
"452",2017-09-28,1
"453",2017-09-29,1
"454",2017-09-30,1
"455",2017-10-01,1
"456",2017-10-02,2
"457",2017-10-03,1
"458",2017-10-08,1
"459",2017-10-09,2
"460",2017-10-12,2
"461",2017-10-13,2
"462",2017-10-14,1
"463",2017-10-15,1
"464",2017-10-16,1
"465",2017-10-17,1
"466",2017-10-20,1
"467",2017-10-22,2
"468",2017-10-24,1
"469",2017-10-25,1
"470",2017-10-26,1
"471",2017-11-03,1
"472",2017-11-08,1
"473",2017-11-11,1
"474",2017-11-12,1
"475",2017-11-17,2
"476",2017-11-22,1
"477",2017-11-23,1
"478",2017-11-26,2
"479",2017-11-27,3
"480",2017-11-28,3
"481",2017-11-29,4
"482",2017-11-30,3
"483",2017-12-01,1
"484",2017-12-02,2
"485",2017-12-03,2
"486",2017-12-04,3
"487",2017-12-05,3
"488",2017-12-06,3
