"","Time","n"
"267","2014-08-25",29
"268","2014-08-26",40
"269","2014-08-27",41
"270","2014-08-28",61
"271","2014-08-29",44
"272","2014-08-30",28
"273","2014-08-31",18
"274","2014-09-01",56
"275","2014-09-02",46
"276","2014-09-03",50
"277","2014-09-04",55
"278","2014-09-05",60
"279","2014-09-06",19
"280","2014-09-07",29
"281","2014-09-08",56
"282","2014-09-09",60
"283","2014-09-10",59
"284","2014-09-11",52
"285","2014-09-12",45
"286","2014-09-13",20
"287","2014-09-14",19
"288","2014-09-15",38
"289","2014-09-16",43
"290","2014-09-17",36
"291","2014-09-18",42
"292","2014-09-19",53
"293","2014-09-20",21
"294","2014-09-21",18
"295","2014-09-22",27
"296","2014-09-23",49
"297","2014-09-24",37
"298","2014-09-25",44
"299","2014-09-26",43
"300","2014-09-27",23
"301","2014-09-28",21
"302","2014-09-29",34
"303","2014-09-30",46
"304","2014-10-01",47
"305","2014-10-02",46
"306","2014-10-03",48
"307","2014-10-04",20
"308","2014-10-05",22
"309","2014-10-06",49
"310","2014-10-07",41
"311","2014-10-08",55
"312","2014-10-09",48
"313","2014-10-10",58
"314","2014-10-11",22
"315","2014-10-12",19
"316","2014-10-13",40
"317","2014-10-14",42
"318","2014-10-15",49
"319","2014-10-16",50
"320","2014-10-17",55
"321","2014-10-18",21
"322","2014-10-19",16
"323","2014-10-20",35
"324","2014-10-21",42
"325","2014-10-22",48
"326","2014-10-23",46
"327","2014-10-24",39
"328","2014-10-25",27
"329","2014-10-26",16
"330","2014-10-27",36
"331","2014-10-28",42
"332","2014-10-29",36
"333","2014-10-30",42
"334","2014-10-31",47
"335","2014-11-01",26
"336","2014-11-02",20
"337","2014-11-03",42
"338","2014-11-04",42
"339","2014-11-05",50
"340","2014-11-06",42
"341","2014-11-07",43
"342","2014-11-08",27
"343","2014-11-09",20
"344","2014-11-10",45
"345","2014-11-11",40
"346","2014-11-12",51
"347","2014-11-13",39
"348","2014-11-14",59
"349","2014-11-15",26
"350","2014-11-16",18
"351","2014-11-17",41
"352","2014-11-18",35
"353","2014-11-19",48
"354","2014-11-20",39
"355","2014-11-21",50
"356","2014-11-22",24
"357","2014-11-23",23
"358","2014-11-24",39
"359","2014-11-25",51
"360","2014-11-26",39
"361","2014-11-27",53
"362","2014-11-28",61
"363","2014-11-29",27
"364","2014-11-30",20
"365","2014-12-01",43
"366","2014-12-02",58
"367","2014-12-03",50
"368","2014-12-04",46
"369","2014-12-05",59
"370","2014-12-06",22
"371","2014-12-07",19
"372","2014-12-08",49
"373","2014-12-09",55
"374","2014-12-10",48
"375","2014-12-11",41
"376","2014-12-12",49
"377","2014-12-13",27
"378","2014-12-14",25
"379","2014-12-15",50
"380","2014-12-16",53
"381","2014-12-17",43
"382","2014-12-18",43
"383","2014-12-19",39
"384","2014-12-20",23
"385","2014-12-21",17
"386","2014-12-22",24
"387","2014-12-23",25
"388","2014-12-24",15
"389","2014-12-25",10
"390","2014-12-26",22
"391","2014-12-27",19
"392","2014-12-28",18
"393","2014-12-29",32
"394","2014-12-30",29
"395","2014-12-31",24
"396","2015-01-01",13
"397","2015-01-02",33
"398","2015-01-03",17
"399","2015-01-04",20
"400","2015-01-05",38
"401","2015-01-06",37
"402","2015-01-07",44
"403","2015-01-08",42
"404","2015-01-09",46
"405","2015-01-10",27
"406","2015-01-11",25
"407","2015-01-12",50
"408","2015-01-13",45
"409","2015-01-14",47
"410","2015-01-15",44
"411","2015-01-16",49
"412","2015-01-17",24
"413","2015-01-18",26
"414","2015-01-19",42
"415","2015-01-20",55
"416","2015-01-21",48
"417","2015-01-22",41
"418","2015-01-23",51
"419","2015-01-24",21
"420","2015-01-25",20
"421","2015-01-26",57
"422","2015-01-27",51
"423","2015-01-28",61
"424","2015-01-29",38
"425","2015-01-30",55
"426","2015-01-31",19
"427","2015-02-01",23
"428","2015-02-02",62
"429","2015-02-03",59
"430","2015-02-04",59
"431","2015-02-05",56
"432","2015-02-06",53
"433","2015-02-07",25
"434","2015-02-08",26
"435","2015-02-09",43
"436","2015-02-10",49
"437","2015-02-11",44
"438","2015-02-12",55
"439","2015-02-13",48
"440","2015-02-14",28
"441","2015-02-15",20
"442","2015-02-16",42
"443","2015-02-17",37
"444","2015-02-18",47
"445","2015-02-19",47
"446","2015-02-20",57
"447","2015-02-21",31
"448","2015-02-22",34
"449","2015-02-23",51
"450","2015-02-24",38
"451","2015-02-25",48
"452","2015-02-26",46
"453","2015-02-27",38
"454","2015-02-28",30
"455","2015-03-01",28
"456","2015-03-02",35
"457","2015-03-03",58
"458","2015-03-04",47
"459","2015-03-05",38
"460","2015-03-06",47
"461","2015-03-07",26
"462","2015-03-08",37
"463","2015-03-09",47
"464","2015-03-10",49
"465","2015-03-11",48
"466","2015-03-12",45
"467","2015-03-13",53
"468","2015-03-14",35
"469","2015-03-15",39
"470","2015-03-16",49
"471","2015-03-17",49
"472","2015-03-18",54
"473","2015-03-19",46
"474","2015-03-20",56
"475","2015-03-21",20
"476","2015-03-22",24
"477","2015-03-23",35
"478","2015-03-24",51
"479","2015-03-25",52
"480","2015-03-26",53
"481","2015-03-27",60
"482","2015-03-28",22
"483","2015-03-29",32
"484","2015-03-30",36
"485","2015-03-31",56
"486","2015-04-01",45
"487","2015-04-02",49
"488","2015-04-03",39
"489","2015-04-04",35
"490","2015-04-05",31
"491","2015-04-06",29
