"","Time","n"
"267","2014-08-25",9
"268","2014-08-26",19
"269","2014-08-27",18
"270","2014-08-28",23
"271","2014-08-29",15
"272","2014-08-30",6
"273","2014-08-31",9
"274","2014-09-01",17
"275","2014-09-02",15
"276","2014-09-03",20
"277","2014-09-04",28
"278","2014-09-05",20
"279","2014-09-06",8
"280","2014-09-07",8
"281","2014-09-08",18
"282","2014-09-09",20
"283","2014-09-10",17
"284","2014-09-11",15
"285","2014-09-12",14
"286","2014-09-13",13
"287","2014-09-14",7
"288","2014-09-15",19
"289","2014-09-16",19
"290","2014-09-17",19
"291","2014-09-18",17
"292","2014-09-19",27
"293","2014-09-20",15
"294","2014-09-21",11
"295","2014-09-22",11
"296","2014-09-23",22
"297","2014-09-24",11
"298","2014-09-25",17
"299","2014-09-26",21
"300","2014-09-27",4
"301","2014-09-28",4
"302","2014-09-29",16
"303","2014-09-30",22
"304","2014-10-01",20
"305","2014-10-02",16
"306","2014-10-03",16
"307","2014-10-04",5
"308","2014-10-05",6
"309","2014-10-06",23
"310","2014-10-07",16
"311","2014-10-08",16
"312","2014-10-09",18
"313","2014-10-10",14
"314","2014-10-11",5
"315","2014-10-12",9
"316","2014-10-13",21
"317","2014-10-14",16
"318","2014-10-15",25
"319","2014-10-16",22
"320","2014-10-17",27
"321","2014-10-18",9
"322","2014-10-19",5
"323","2014-10-20",10
"324","2014-10-21",25
"325","2014-10-22",19
"326","2014-10-23",23
"327","2014-10-24",16
"328","2014-10-25",11
"329","2014-10-26",4
"330","2014-10-27",19
"331","2014-10-28",18
"332","2014-10-29",15
"333","2014-10-30",16
"334","2014-10-31",14
"335","2014-11-01",6
"336","2014-11-02",7
"337","2014-11-03",18
"338","2014-11-04",22
"339","2014-11-05",17
"340","2014-11-06",13
"341","2014-11-07",19
"342","2014-11-08",7
"343","2014-11-09",13
"344","2014-11-10",24
"345","2014-11-11",26
"346","2014-11-12",17
"347","2014-11-13",19
"348","2014-11-14",12
"349","2014-11-15",3
"350","2014-11-16",10
"351","2014-11-17",18
"352","2014-11-18",15
"353","2014-11-19",17
"354","2014-11-20",18
"355","2014-11-21",15
"356","2014-11-22",6
"357","2014-11-23",10
"358","2014-11-24",11
"359","2014-11-25",19
"360","2014-11-26",26
"361","2014-11-27",21
"362","2014-11-28",19
"363","2014-11-29",8
"364","2014-11-30",9
"365","2014-12-01",22
"366","2014-12-02",24
"367","2014-12-03",26
"368","2014-12-04",26
"369","2014-12-05",27
"370","2014-12-06",7
"371","2014-12-07",11
"372","2014-12-08",18
"373","2014-12-09",17
"374","2014-12-10",20
"375","2014-12-11",13
"376","2014-12-12",24
"377","2014-12-13",3
"378","2014-12-14",7
"379","2014-12-15",15
"380","2014-12-16",12
"381","2014-12-17",19
"382","2014-12-18",16
"383","2014-12-19",21
"384","2014-12-20",4
"385","2014-12-21",10
"386","2014-12-22",16
"387","2014-12-23",17
"388","2014-12-24",9
"389","2014-12-25",8
"390","2014-12-26",6
