Date,Open,High,Low,Close,Adj Close,Volume,Hit
12/2/2013,126.349998,144.940002,123.93,137.360001,137.360001,63779300,11
12/9/2013,137,151.800003,134.210007,147.649994,147.649994,48307200,10
12/16/2013,148.479996,154.899994,139.100006,143.240005,143.240005,48904800,11
12/23/2013,144.850006,158,142.600006,151.119995,151.119995,27916700,11
12/30/2013,151.119995,154.809998,146.550003,149.559998,149.559998,19613300,10
1/6/2014,150,153.699997,142.25,145.720001,145.720001,29386500,9
1/13/2014,145.779999,173.199997,136.669998,170.009995,170.009995,75554300,12
1/20/2014,171.240005,182.380005,170.809998,174.600006,174.600006,32289000,10
1/27/2014,175.160004,186,164.710007,181.410004,181.410004,35819100,11
2/3/2014,182.889999,186.630005,169.360001,186.529999,186.529999,33489300,10
2/10/2014,189.339996,202.720001,189.320007,198.229996,198.229996,43041600,10
2/17/2014,205.240005,215.210007,193.410004,209.600006,209.600006,51322900,16
2/24/2014,208.759995,265,208.320007,244.809998,244.809998,98100300,21
3/3/2014,237.259995,260,234.990005,246.210007,246.210007,42944000,14
3/10/2014,242.699997,247.5,228.320007,230.970001,230.970001,40818600,17
3/17/2014,234.949997,241.550003,227.5,228.889999,228.889999,29261000,15
3/24/2014,229.75,229.899994,203,212.369995,212.369995,45282000,14
3/31/2014,216.5,235.729996,206.389999,212.229996,212.229996,48803000,22
4/7/2014,205.809998,218.449997,198.600006,203.779999,203.779999,38181400,15
4/14/2014,207.600006,208.440002,184.320007,198.119995,198.119995,34491300,14
4/21/2014,197.080002,219.330002,194,199.850006,199.850006,34850400,15
4/28/2014,200,214.020004,190.5,210.910004,210.910004,26788400,14
5/5/2014,209.479996,218.660004,177.220001,182.259995,182.259995,49514800,15
5/12/2014,183.869995,193.479996,179.880005,191.559998,191.559998,30034300,19
5/19/2014,190.720001,207.759995,190,207.300003,207.300003,25624500,13
5/26/2014,208.520004,214.800003,205.259995,207.770004,207.770004,20109800,12
6/2/2014,207.330002,210.809998,200.399994,208.169998,208.169998,19084700,14
6/9/2014,207.949997,209.990005,199.25,206.419998,206.419998,19835900,17
6/16/2014,206.759995,235.539993,206.259995,229.589996,229.589996,47188500,17
6/23/2014,229.509995,241.880005,228.220001,239.059998,239.059998,32425000,13
6/30/2014,239.550003,244.490005,224,229.25,229.25,22358800,14
7/7/2014,227.5,229.779999,214.270004,218.130005,218.130005,26011500,16
7/14/2014,219.990005,228.789993,213.600006,220.020004,220.020004,25869300,20
7/21/2014,217.25,226.970001,216.720001,223.570007,223.570007,15968100,16
7/28/2014,224.25,237.5,221.039993,233.270004,233.270004,34469400,16
8/4/2014,234.380005,256.690002,233.270004,248.130005,248.130005,33166600,14
8/11/2014,255.479996,265.640015,254.580002,262.01001,262.01001,29410700,14
8/18/2014,263.25,267.26001,251.619995,256.779999,256.779999,19960900,14
8/25/2014,258.190002,272,258.190002,269.700012,269.700012,20413200,13
9/1/2014,275.5,291.420013,272.51001,277.390015,277.390015,36136300,18
9/8/2014,277.619995,285.48999,273.660004,279.200012,279.200012,20932400,13
9/15/2014,274.369995,274.399994,249.130005,259.320007,259.320007,40436700,13
9/22/2014,255,256.019989,244.710007,246.600006,246.600006,26251900,12
9/29/2014,244,256.5,235.649994,255.210007,255.210007,29437200,15
10/6/2014,259.130005,265.540009,235.199997,236.910004,236.910004,37503500,28
10/13/2014,238.570007,238.960007,217.320007,227.479996,227.479996,43470000,17
10/20/2014,226.720001,237.800003,225.509995,235.240005,235.240005,18697000,14
10/27/2014,234.25,244.600006,220.309998,241.699997,241.699997,32035800,13
11/3/2014,243,247.559998,228.5,240.199997,240.199997,37448000,12
11/10/2014,239.110001,258.850006,236.800003,258.679993,258.679993,30733900,12
11/17/2014,257.48999,259.98999,242.169998,242.779999,242.779999,27489500,11
11/24/2014,245.199997,249.720001,240.639999,244.520004,244.520004,12050400,11
12/1/2014,241.160004,242.470001,222.259995,223.710007,223.710007,29733300,10
12/8/2014,221.539993,224.860001,204.270004,207,207,39839400,10
12/15/2014,209.289993,220.399994,192.649994,219.289993,219.289993,35406000,11
12/22/2014,220,228.5,218.259995,227.820007,227.820007,13964300,13
12/29/2014,226.899994,227.910004,213.259995,219.309998,219.309998,12872200,12
1/5/2015,214.550003,216.5,204.210007,206.660004,206.660004,22632600,12
1/12/2015,203.050003,207.610001,185,193.070007,193.070007,30793100,14
1/19/2015,193.869995,203.5,187.039993,201.289993,201.289993,16197900,13
1/26/2015,201.830002,208.619995,196.5,203.600006,203.600006,15720200,17
