Date,Open,High,Low,Close,Adj Close,Volume,Hit
12/2/2013,46.900002,49.389999,46.259998,47.939999,47.939999,230543000,10
12/9/2013,48.09,53.5,47.740002,53.32,53.32,345675000,26
12/16/2013,53.25,55.889999,52.91,55.119999,55.119999,569450200,11
12/23/2013,55.5,58.580002,55.25,55.439999,55.439999,260481800,13
12/30/2013,54.93,55.650002,53.43,54.560001,54.560001,192824900,0
1/6/2014,54.419998,58.959999,54.049999,57.939999,57.939999,337445200,21
1/13/2014,57.91,58.57,55.380001,56.299999,56.299999,209568900,0
1/20/2014,56.599998,59.310001,54.400002,54.450001,54.450001,213174600,10
1/27/2014,54.73,63.369999,51.849998,62.57,62.57,453084400,10
2/3/2014,63.029999,64.57,60.700001,64.32,64.32,275328000,38
2/10/2014,64.300003,67.580002,63.349998,67.089996,67.089996,235230400,20
2/17/2014,66.940002,70.110001,65.730003,68.589996,68.589996,307758300,36
2/24/2014,68.739998,71.440002,67.379997,68.459999,68.459999,292457400,15
3/3/2014,66.959999,71.970001,66.510002,69.800003,69.800003,258358800,20
3/10/2014,70.769997,72.589996,67.459999,67.720001,67.720001,270938400,10
3/17/2014,68.18,69.599998,66.18,67.239998,67.239998,241443900,10
3/24/2014,67.190002,67.360001,57.98,60.009998,60.009998,431687900,15
3/31/2014,60.779999,63.91,56.32,56.75,56.75,387652400,41
4/7/2014,55.900002,63.18,55.439999,58.529999,58.529999,493979000,26
4/14/2014,60.09,60.580002,55.880001,58.939999,58.939999,347762000,21
4/21/2014,59.459999,63.650002,57.57,57.709999,57.709999,448174700,10
4/28/2014,58.049999,62.279999,54.66,60.459999,60.459999,396026000,15
5/5/2014,59.669998,61.349998,56.259998,57.240002,57.240002,294380000,10
5/12/2014,57.98,60.889999,57.310001,58.02,58.02,249276000,11
5/19/2014,57.889999,61.48,57.57,61.349998,61.349998,248451000,11
5/26/2014,61.619999,64.300003,61.57,63.299999,63.299999,191430500,25
6/2/2014,63.23,64.360001,62.049999,62.5,62.5,194521000,0
6/9/2014,62.400002,66.470001,61.790001,64.5,64.5,236346000,0
6/16/2014,64.160004,65.75,63.349998,64.5,64.5,175042000,19
6/23/2014,64.32,68,64.220001,67.599998,67.599998,230378000,31
6/30/2014,67.459999,68.440002,65.760002,66.290001,66.290001,127444000,13
7/7/2014,66.300003,66.589996,62.209999,66.339996,66.339996,232737000,18
7/14/2014,67.129997,68.459999,66.040001,68.419998,68.419998,192935800,24
7/21/2014,68.809998,76.739998,68.5,75.190002,75.190002,338457000,24
7/28/2014,75.169998,75.5,71.550003,72.360001,72.360001,207429000,12
8/4/2014,72.360001,74,71.790001,73.059998,73.059998,162092000,26
8/11/2014,73.459999,74.650002,72.220001,73.629997,73.629997,142329600,24
8/18/2014,74,75.580002,73.57,74.57,74.57,114569000,0
8/25/2014,74.940002,75.989998,73.730003,74.82,74.82,128238000,24
9/1/2014,75.010002,77.480003,74.82,77.260002,77.260002,123520000,23
9/8/2014,77.260002,78.360001,76.199997,77.480003,77.480003,145869800,23
9/15/2014,77.150002,78.300003,73.07,77.910004,77.910004,215816000,0
9/22/2014,77,78.940002,75.949997,78.790001,78.790001,165860000,29
9/29/2014,78.120003,79.709999,75.639999,77.440002,77.440002,184848000,11
10/6/2014,77.190002,77.949997,72.760002,72.910004,72.910004,168655000,23
10/13/2014,73.230003,76,70.32,75.949997,75.949997,285636000,23
10/20/2014,75.599998,80.82,75.379997,80.669998,80.669998,176119000,45
10/27/2014,80.739998,81.160004,72.900002,74.989998,74.989998,338315000,23
11/3/2014,75.470001,76.800003,73.650002,75.599998,75.599998,158123000,34
11/10/2014,75.360001,75.480003,73.540001,74.879997,74.879997,112752800,17
11/17/2014,74.879997,75.660004,72.510002,73.75,73.75,117048200,11
11/24/2014,73.540001,78.269997,73.349998,77.699997,77.699997,103041300,24
12/1/2014,77.260002,77.309998,74.400002,76.360001,76.360001,103922900,48
12/8/2014,76.18,78.879997,74.779999,77.830002,77.830002,144856700,22
12/15/2014,78.459999,80,74.589996,79.879997,79.879997,167712100,18
12/22/2014,80.080002,82.169998,80,80.779999,80.779999,69594500,0
12/29/2014,80.489998,80.959999,77.699997,78.449997,78.449997,66618400,0
1/5/2015,77.980003,79.25,75.360001,77.739998,77.739998,121014800,23
1/12/2015,77.839996,78.080002,73.540001,75.18,75.18,126036300,22
1/19/2015,75.720001,78.190002,74.82,77.830002,77.830002,84184300,34
1/26/2015,77.980003,78.470001,74.209999,75.910004,75.910004,196620200,33
2/2/2015,76.110001,76.349998,73.75,74.470001,74.470001,125464000,21
2/9/2015,74.050003,76.870003,73.449997,75.739998,75.739998,88739900,32
2/16/2015,75.300003,80.339996,75.080002,79.900002,79.900002,130463700,22
2/23/2015,79.959999,81.370003,78.099998,78.970001,78.970001,130481100,16
3/2/2015,79,81.989998,78.519997,80.010002,80.010002,120738500,22
3/9/2015,79.68,79.910004,77.260002,78.050003,78.050003,96858500,11
3/16/2015,77.959999,84.599998,77.360001,83.800003,83.800003,164953600,28
3/23/2015,83.919998,86.07,82.139999,83.300003,83.300003,148537300,12
3/30/2015,83.809998,84.339996,80.870003,81.559998,81.559998,85984300,12
4/6/2015,80.800003,83.419998,80.800003,82.040001,82.040001,83953600,11
4/13/2015,81.93,83.940002,80.370003,80.779999,80.779999,106892900,17
4/20/2015,81.540001,85.589996,81.239998,81.529999,81.529999,204905200,56
4/27/2015,81.870003,82.93,78.110001,78.989998,78.989998,128787000,40
5/4/2015,79.330002,79.690002,77.050003,78.510002,78.510002,105359300,23
5/11/2015,78.480003,81.849998,76.790001,80.419998,80.419998,138179600,29
5/18/2015,80.330002,81.690002,79.459999,80.540001,80.540001,95596600,48
5/25/2015,80.43,81.07,78.879997,79.190002,79.190002,58598800,0
6/1/2015,79.300003,82.949997,78.660004,82.139999,82.139999,105644000,24
6/8/2015,81.82,82.900002,79.32,81.529999,81.529999,85018900,12
6/15/2015,80.550003,83.190002,80.07,82.510002,82.510002,100984900,18
6/22/2015,83.410004,89.400002,83.309998,88.010002,88.010002,186937800,0
6/29/2015,86.610001,87.949997,85.57,87.290001,87.290001,101143200,13
7/6/2015,86.489998,88.220001,85.230003,87.949997,87.949997,128485200,30
7/13/2015,88.660004,95.389999,88.419998,94.970001,94.970001,163296800,12
7/20/2015,95.849998,99.239998,94.809998,96.949997,96.949997,185477000,18
7/27/2015,96.580002,97.279999,91.800003,94.010002,94.010002,271190000,24
8/3/2015,93.529999,98.739998,92.800003,94.300003,94.300003,144762700,12
8/10/2015,95.68,95.900002,91.190002,94.419998,94.419998,104547200,24
8/17/2015,94.419998,96.099998,85.610001,86.059998,86.059998,171125700,0
8/24/2015,77.029999,91.480003,72,91.010002,91.010002,256503500,17
8/31/2015,90.599998,91.050003,86.5,88.260002,88.260002,150515500,11
9/7/2015,89.690002,92.080002,88.830002,92.050003,92.050003,107186000,35
9/14/2015,92.309998,95.510002,91.599998,94.400002,94.400002,145450300,22
9/21/2015,94.620003,96.489998,91.919998,92.769997,92.769997,145447900,28
9/28/2015,92.080002,92.290001,85.720001,92.07,92.07,186816200,16
10/5/2015,92.940002,94.269997,90.470001,93.239998,93.239998,120898000,22
10/12/2015,93.32,97.589996,92.669998,97.540001,97.540001,110153700,11
10/19/2015,97.18,102.849998,96.470001,102.190002,102.190002,145550000,16
10/26/2015,102.199997,105.120003,101.550003,101.970001,101.970001,127642000,32
11/2/2015,101.720001,110.650002,101.18,107.099998,107.099998,187032700,16
11/9/2015,107,109.870003,103.830002,103.949997,103.949997,127675400,22
11/16/2015,103.32,107.879997,100.470001,107.32,107.32,147603100,11
11/23/2015,107.190002,107.470001,104.389999,105.449997,105.449997,64538400,35
11/30/2015,105.839996,107.919998,103.349998,106.18,106.18,112055400,16
12/7/2015,106.480003,106.910004,101.910004,102.120003,102.120003,103236200,31
12/14/2015,102.290001,107.75,101.459999,104.040001,104.040001,126762800,22
12/21/2015,104.910004,106.110001,103.599998,105.019997,105.019997,56837400,19
12/28/2015,105.019997,107.739998,104.529999,104.660004,104.660004,61663300,18
1/4/2016,101.949997,103.769997,97.029999,97.330002,97.330002,166842000,23
1/11/2016,97.910004,100.580002,92.449997,94.970001,94.970001,186332600,22
1/18/2016,96.529999,98.07,89.370003,97.940002,97.940002,151064000,36
1/25/2016,98.720001,112.839996,94.230003,112.209999,112.209999,288273300,9
2/1/2016,112.269997,117.589996,103.18,104.07,104.07,278615500,35
2/8/2016,100.410004,105.110001,96.82,102.010002,102.010002,258965500,31
