"","Date","Open","High","Low","Close","Adj.Close","Volume","Hit","x"
"139",2016-07-25,222.270004,235.279999,221.369995,234.789993,234.789993,16295800,19,NA
"140",2016-08-01,235.5,236.630005,221.399994,230.029999,230.029999,19166500,19,NA
"141",2016-08-08,228,231.539993,223.410004,225.610001,225.610001,10499000,16,NA
"142",2016-08-15,226.020004,229.5,222.289993,225,225,9462500,15,NA
"143",2016-08-22,224.169998,228.490005,218.820007,219.990005,219.990005,13422100,20,NA
"144",2016-08-29,220.149994,220.399994,196.199997,197.779999,197.779999,23623000,18,NA
"145",2016-09-05,199.020004,206.5,193.699997,194.470001,194.470001,15158500,16,NA
"146",2016-09-12,195,205.699997,193.449997,205.399994,205.399994,15744100,17,NA
"147",2016-09-19,207,210.179993,201.559998,207.449997,207.449997,12629100,17,NA
"148",2016-09-26,206.5,211,199.550003,204.029999,204.029999,13169300,18,NA
"149",2016-10-03,212.300003,215.669998,195.800003,196.610001,196.610001,19615300,17,NA
"150",2016-10-10,201.350006,204.139999,196.300003,196.509995,196.509995,14366700,16,NA
"151",2016-10-17,197.050003,206.660004,192,200.089996,200.089996,25230600,24,NA
"152",2016-10-24,201,213.699997,199.830002,199.970001,199.970001,28203200,21,NA
"153",2016-10-31,202.490005,202.490005,185.960007,190.559998,190.559998,23804700,23,NA
"154",2016-11-07,193.589996,197.490005,180.419998,188.559998,188.559998,26033400,18,NA
"155",2016-11-14,188,193,178.190002,185.020004,185.020004,23972000,19,NA
"156",2016-11-21,185.039993,197.240005,183.710007,196.649994,196.649994,17215800,19,NA
"157",2016-11-28,195.479996,199.350006,180,181.470001,181.470001,21684300,17,NA
"158",2016-12-05,182.509995,193.839996,182.509995,192.179993,192.179993,18842300,16,NA
"159",2016-12-12,192.800003,203,191.179993,202.490005,202.490005,20413100,17,NA
"160",2016-12-19,202.490005,213.449997,199.839996,213.339996,213.339996,21158800,17,NA
"161",2016-12-26,214.880005,223.800003,211.679993,213.690002,213.690002,18376700,20,NA
"162",2017-01-02,214.860001,230.309998,210.960007,229.009995,229.009995,28576400,19,NA
"163",2017-01-09,228.970001,237.850006,225.580002,237.75,237.75,21151000,17,NA
"164",2017-01-16,236.699997,248.679993,234.369995,244.729996,244.729996,20317500,17,NA
"165",2017-01-23,245.850006,258.459991,245.5,252.949997,252.949997,22689400,17,NA
"166",2017-01-30,252.529999,255.889999,247.100006,251.330002,251.330002,16562500,17,NA
"167",2017-02-06,251,271.179993,250.630005,269.230011,269.230011,23180200,20,NA
"168",2017-02-13,270.73999,287.390015,264.149994,272.230011,272.230011,32641300,19,NA
"169",2017-02-20,275.450012,283.450012,250.199997,257,257,37518500,21,NA
"170",2017-02-27,248.169998,254.850006,242.009995,251.570007,251.570007,28619600,19,NA
"171",2017-03-06,247.910004,253.889999,243,243.690002,243.690002,17485800,19,NA
"172",2017-03-13,244.820007,265.75,242.779999,261.5,261.5,29581500,19,NA
"173",2017-03-20,260.600006,264.799988,250.240005,263.160004,263.160004,23549700,19,NA
"174",2017-03-27,260.600006,282,259.75,278.299988,278.299988,25337600,21,NA
"175",2017-04-03,286.899994,304.880005,284.579987,302.540009,302.540009,42004300,25,NA
"176",2017-04-10,309.149994,313.730011,295.299988,304,304,28724400,27,NA
"177",2017-04-17,302.700012,309.149994,297.899994,305.600006,305.600006,21731600,23,NA
"178",2017-04-24,309.220001,314.799988,305.859985,314.070007,314.070007,24448200,22,NA
"179",2017-05-01,314.880005,327.660004,290.76001,308.350006,308.350006,43675100,24,NA
"180",2017-05-08,310.899994,327,305.820007,324.809998,324.809998,31300000,27,NA
"181",2017-05-15,318.380005,320.200012,305.309998,310.829987,310.829987,28827800,23,NA
"182",2017-05-22,312.799988,325.48999,303.480011,325.140015,325.140015,26497100,21,NA
"183",2017-05-29,326,344.880005,325.76001,339.850006,339.850006,30944500,23,NA
"184",2017-06-05,338.5,376.869995,334.209991,357.320007,357.320007,53540400,24,NA
"185",2017-06-12,357.98999,384.25,350.619995,371.399994,371.399994,52301500,23,NA
"186",2017-06-19,375,386.98999,367.799988,383.450012,383.450012,32886800,23,NA
"187",2017-06-26,386.690002,386.950012,354.100006,361.609985,361.609985,33972500,23,NA
"188",2017-07-03,370.23999,371.350006,306.299988,313.220001,313.220001,56853500,42,NA
"189",2017-07-10,312.899994,333.100006,303.130005,327.779999,327.779999,49946100,33,NA
"190",2017-07-17,325.540009,331.649994,313.450012,328.399994,328.399994,32675400,27,NA
"191",2017-07-24,330.23999,347.5,326.290009,335.070007,335.070007,33629900,40,NA
"192",2017-07-31,335.5,357.269989,311.220001,356.910004,356.910004,52733600,46,NA
"193",2017-08-07,357.350006,370,352.75,357.869995,357.869995,32125100,30,NA
"194",2017-08-14,364.630005,367.660004,345.799988,347.459991,347.459991,21437500,25,NA
"195",2017-08-21,345.820007,356.660004,331.850006,348.049988,348.049988,23840600,23,NA
"196",2017-08-28,347.279999,358.440002,338.75,355.399994,355.399994,18372900,23,NA
"197",2017-09-04,353.799988,355.48999,341.559998,343.399994,343.399994,15429200,22,NA
