"","Date","Open","High","Low","Close","Adj.Close","Volume","Hit","News"
"203","2017-10-16","1008.440002","1022.309998","980.23999","982.909973","982.909973","12301600","61","5"
"204","2017-10-23","986.72998","1105.579956","962.5","1100.949951","1100.949951","31434800","64","3"
"205","2017-10-30","1095.01001","1122.790039","1086.869995","1111.599976","1111.599976","21282000","59","1"
"206","2017-11-06","1109.150024","1135.540039","1108.77002","1125.349976","1125.349976","14564200","64","3"
"207","2017-11-13","1123","1139.900024","1121.630005","1129.880005","1129.880005","14612200","69","2"
"208","2017-11-20","1129.77002","1186.839966","1122.550049","1186","1186","11726600","88","4"
"209","2017-11-27","1202.660034","1213.410034","1145.189941","1162.349976","1162.349976","29177200","92","18"
"210","2017-12-04","1173.849976","1175.199951","1124.73999","1162","1162","18426700","83","26"
"211","2017-12-11","1164.599976","1182.75","1157","1179.140015","1179.140015","15209100","89","13"
"212","2017-12-18","1187.369995","1194.780029","1167.640015","1168.359985","1168.359985","11614800","88","12"
"213","2017-12-25","1168.359985","1190.099976","1160.550049","1169.469971","1169.469971","8402500","81","14"
"214","2018-01-01","1172","1229.140015","1170.51001","1229.140015","1229.140015","12370100","69","11"
"215","2018-01-08","1236","1305.76001","1232.030029","1305.199951","1305.199951","19195500","66","11"
"216","2018-01-15","1323","1339.939941","1280.880005","1294.579956","1294.579956","21047500","66","12"
"217","2018-01-22","1297.170044","1402.530029","1296.660034","1402.050049","1402.050049","25727200","62","26"
"218","2018-01-29","1409.180054","1498","1385.140015","1429.949951","1429.949951","38238000","62","14"
"219","2018-02-05","1402.619995","1460.98999","1265.930054","1339.599976","1339.599976","52444600","61","15"
"220","2018-02-12","1364.670044","1468.939941","1344.01001","1448.689941","1448.689941","28741300","57","9"
"221","2018-02-19","1446.48999","1503.48999","1446.48999","1500","1500","22079800","59","6"
"222","2018-02-26","1509.199951","1528.699951","1455.01001","1500.25","1500.25","27701600","62","12"
"223","2018-03-05","1494.23999","1578.939941","1481","1578.890015","1578.890015","22366600","61","3"
"224","2018-03-12","1592.599976","1617.540039","1567.5","1571.680054","1571.680054","25460200","60","10"
"225","2018-03-19","1554.530029","1590","1495.359985","1495.560059","1495.560059","30239800","60","4"
"226","2018-03-26","1530","1575.969971","1365.199951","1447.339966","1447.339966","38910700","61","2"
"227","2018-04-02","1417.619995","1459.560059","1352.880005","1405.22998","1405.22998","39972900","60","4"
"228","2018-04-09","1425.030029","1459.780029","1402.569946","1430.790039","1430.790039","18865100","57","3"
"229","2018-04-16","1445","1568.52002","1427.47998","1527.48999","1527.48999","25215800","57","7"
"230","2018-04-23","1546.689941","1638.099976","1415.02002","1572.619995","1572.619995","40401700","58","8"
"231","2018-04-30","1582.5","1596","1546.02002","1580.949951","1580.949951","22092000","57","2"
"232","2018-05-07","1589.339966","1615.599976","1582.51001","1602.910034","1602.910034","15588500","58","2"
"233","2018-05-14","1604","1611.180054","1565.219971","1574.369995","1574.369995","14947800","57","2"
"234","2018-05-21","1585","1614.119995","1566.339966","1610.150024","1610.150024","14414800","57","2"
"235","2018-05-28","1600.709961","1646.72998","1600.150024","1641.540039","1641.540039","13193700","59","1"
"236","2018-06-04","1648.900024","1714.5","1645.48999","1683.98999","1683.98999","20144100","59","2"
"237","2018-06-11","1681.51001","1724.800049","1680.589966","1715.969971","1715.969971","15874200","60","5"
"238","2018-06-18","1706.26001","1763.099976","1700.390015","1715.670044","1715.670044","20746600","57","2"
"239","2018-06-25","1702.51001","1723.410034","1646.310059","1699.800049","1699.800049","25843200","61","2"
"240","2018-07-02","1682.699951","1725","1678.060059","1710.630005","1710.630005","10996400","60","1"
"241","2018-07-09","1724.050049","1815.300049","1716.22998","1813.030029","1813.030029","18140600","64","1"
"242","2018-07-16","1821.949951","1858.880005","1797.380005","1813.699951","1813.699951","24572300","86","3"
"243","2018-07-23","1812.209961","1880.050049","1769.98999","1817.27002","1817.27002","31510800","62","4"
"244","2018-07-30","1827.329956","1841","1739.319946","1823.290039","1823.290039","24269300","62","3"
"245","2018-08-06","1825.810059","1914.569946","1818.920044","1886.300049","1886.300049","19222100","64","3"
"246","2018-08-13","1898.5","1925","1855.550049","1882.219971","1882.219971","25260800","62","NA"
"247","2018-08-20","1890.569946","1919.5","1866.060059","1905.390015","1905.390015","15412000","62","4"
"248","2018-08-27","1915","2025.569946","1909.280029","2012.709961","2012.709961","24683200","61","1"
"249","2018-09-03","2026.5","2050.5","1935.209961","1952.069946","1952.069946","26323000","61","6"
"250","2018-09-10","1971","2008.76001","1917","1970.189941","1970.189941","21255900","58","NA"
"251","2018-09-17","1954.72998","1958.199951","1887.410034","1915.01001","1915.01001","25386500","58","4"
"252","2018-09-24","1903.790039","2026.52002","1865","2003","2003","21480100","57","NA"
"253","2018-10-01","2021.98999","2033.189941","1862.829956","1889.650024","1889.650024","28193600","60","4"
"254","2018-10-08","1874","1902","1685.099976","1788.609985","1788.609985","46535500","61","2"
"255","2018-10-15","1795","1845","1734.22998","1764.030029","1764.030029","29373500","60","1"
"256","2018-10-22","1784","1809.5","1603","1642.810059","1642.810059","43401800","60","2"
"257","2018-10-29","1660","1697.439941","1476.359985","1665.530029","1665.530029","50807400","58","1"
"258","2018-11-05","1657.569946","1784","1596.359985","1712.430054","1712.430054","30511400","60","5"
"259","2018-11-12","1698.23999","1708.550049","1546.51001","1593.410034","1593.410034","33719800","69","1"
"260","2018-11-19","1577.01001","1581.189941","1420","1502.060059","1502.060059","27093200","83","9"
"261","2018-11-26","1539","1696","1524.219971","1690.170044","1690.170044","32863200","100","5"
